Items in order,stemmed_text
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grill chicken x bone smoki bbq grill chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone peri peri grill chicken x bone jamaican grill chicken
"1 x Grilled Chicken Jamaican Tender, 1 x Fried Chicken Angara Tender, 1 x Animal Fries, 1 x Fried Chicken Kabuli Tender",x grill chicken jamaican tender x fri chicken angara tender x anim fri x fri chicken kabuli tender
"1 x Animal Fries, 1 x Fried Chicken Classic Tender",x anim fri x fri chicken classic tender
"2 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Peri Peri Tender",x bone jamaican grill chicken x fri chicken peri peri tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Salted Fries",x bone jamaican grill chicken x salt fri
"1 x Fried Chicken Peri Peri Tender, 1 x Bone in Peri Peri Grilled Chicken",x fri chicken peri peri tender x bone peri peri grill chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Animal Fries",x bone jamaican grill chicken x anim fri
"1 x Bone in Kabuli Grilled Chicken, 1 x Grilled Chicken Peri Peri Tender",x bone kabuli grill chicken x grill chicken peri peri tender
"1 x Grilled Chicken Ghostbuster Tangdi, 1 x Bone in Jamaican Grilled Chicken",x grill chicken ghostbust tangdi x bone jamaican grill chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone peri peri grill chicken x bone smoki bbq grill chicken
"1 x Animal Fries, 1 x Fried Chicken Peri Peri Tender",x anim fri x fri chicken peri peri tender
"1 x Fried Chicken Peri Peri Tender, 1 x Fried Chicken Classic Tender",x fri chicken peri peri tender x fri chicken classic tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken, 1 x Garlic Aioli, 1 x Peri Peri Sauce",x bone jamaican grill chicken x bone peri peri grill chicken x garlic aioli x peri peri sauc
"1 x Grilled Chicken Peri Peri Tender, 1 x Bone in Jamaican Grilled Chicken",x grill chicken peri peri tender x bone jamaican grill chicken
2 x Grilled Chicken Angara Tangdi,x grill chicken angara tangdi
"1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Jamaican Tender",x grill chicken angara tender x grill chicken jamaican tender
2 x Animal Fries,x anim fri
"1 x Fried Chicken Classic Tender, 1 x Grilled Chicken Jamaican Tangdi",x fri chicken classic tender x grill chicken jamaican tangdi
"1 x Grilled Chicken Jamaican Tender, 1 x Onion Bombs, 1 x AAC Fried Paneer Burger, 2 x Angara Aloo Tuk Tuki, 1 x Angara Rice",x grill chicken jamaican tender x onion bomb x aac fri paneer burger x angara aloo tuk tuki x angara rice
"1 x India Dynamite sauce, 1 x Grilled Chicken Angara Tender, 1 x Harisa Mayo, 1 x Bone in Jamaican Grilled Chicken",x india dynamit sauc x grill chicken angara tender x harisa mayo x bone jamaican grill chicken
2 x Bone in Kabuli Grilled Chicken,x bone kabuli grill chicken
"1 x Bone in Angara Grilled Chicken, 1 x Animal Fries, 1 x Bone in Kabuli Grilled Chicken, 1 x Fried Chicken Ghostbuster Tender",x bone angara grill chicken x anim fri x bone kabuli grill chicken x fri chicken ghostbust tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Peri Peri Tender",x bone jamaican grill chicken x grill chicken peri peri tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grill chicken x bone smoki bbq grill chicken
"1 x Grilled Chicken Ghostbuster Tangdi, 1 x Grilled Chicken Smoky BBQ Tender",x grill chicken ghostbust tangdi x grill chicken smoki bbq tender
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone angara grill chicken x bone smoki bbq grill chicken
2 x Salted Fries,x salt fri
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone peri peri grill chicken x bone angara grill chicken
2 x Bone in Smoky Bbq Grilled Chicken,x bone smoki bbq grill chicken
2 x Animal Fries,x anim fri
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Jamaican Tender",x grill chicken jamaican tender x grill chicken jamaican tender
"1 x Fried Chicken Angara Tender, 1 x Animal Fries",x fri chicken angara tender x anim fri
"2 x Bone in Kabuli Grilled Chicken, 2 x Bone in Kabuli Grilled Chicken",x bone kabuli grill chicken x bone kabuli grill chicken
"1 x Bone in Kabuli Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone kabuli grill chicken x bone jamaican grill chicken
"1 x Fried Chicken Classic Tender, 1 x Fried Chicken Peri Peri Tender",x fri chicken classic tender x fri chicken peri peri tender
2 x Fried Chicken Classic Tender,x fri chicken classic tender
"1 x Jamaican Sauce, 1 x Bone in Kabuli Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x jamaican sauc x bone kabuli grill chicken x bone jamaican grill chicken x bone peri peri grill chicken
1 x Fried Chicken Peri Peri Tender,x fri chicken peri peri tender
"1 x Grilled Chicken Smoky BBQ Tender, 1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x grill chicken smoki bbq tender x bone peri peri grill chicken x bone jamaican grill chicken
1 x Grilled Chicken Smoky BBQ Tender,x grill chicken smoki bbq tender
1 x Jamaican Chicken Melt,x jamaican chicken melt
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
1 x Just Pepperoni Pizza,x pepperoni pizza
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
1 x Chilli Cheese Garlic Bread,x chilli chees garlic bread
"1 x Murgh Amritsari Seekh Pide, 1 x OG Cheese Pide",x murgh amritsari seekh pide x og chees pide
"1 x Cheesy Garlic Bread, 1 x Chilli Cheese Garlic Bread, 1 x All About Chicken Pizza",x cheesi garlic bread x chilli chees garlic bread x chicken pizza
1 x Chilli Cheese Garlic Bread,x chilli chees garlic bread
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
"1 x Mushroom Mozzarella Melt, 1 x Masala Potato Pide",x mushroom mozzarella melt x masala potato pide
"1 x Bageecha Pizza, 1 x Chilli Cheese Garlic Bread",x bageecha pizza x chilli chees garlic bread
2 x Cheesy Garlic Bread,x cheesi garlic bread
"1 x Jamaican Chicken Melt, 1 x Fried Chicken Strips",x jamaican chicken melt x fri chicken strip
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
"1 x Peri Peri Grilled Chicken Pizza, 1 x Peri Peri Paneer Pizza",x peri peri grill chicken pizza x peri peri paneer pizza
1 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
1 x Peri Peri Crisper Fries,x peri peri crisper fri
1 x Murgh Amritsari Seekh Pide,x murgh amritsari seekh pide
1 x Pepperoni Garlic Bread,x pepperoni garlic bread
"1 x Masala Omelette Pide, 1 x All About Chicken Pizza",x masala omelett pide x chicken pizza
"1 x Onion Rings, 1 x Spinach Sumac Pide",x onion ring x spinach sumac pide
1 x Angara Paneer Melt,x angara paneer melt
1 x Bageecha Pizza,x bageecha pizza
1 x Chilli Cheese Garlic Bread,x chilli chees garlic bread
1 x All About Chicken Pizza,x chicken pizza
"1 x All About Chicken Pizza, 1 x Cheesy Garlic Bread, 1 x Angara Paneer Melt, 1 x Onion Rings, 1 x Malai Gud Pide",x chicken pizza x cheesi garlic bread x angara paneer melt x onion ring x malai gud pide
1 x Bageecha Pizza,x bageecha pizza
"1 x Bageecha Pizza, 1 x Chilli Cheese Garlic Bread",x bageecha pizza x chilli chees garlic bread
1 x Bageecha Pizza,x bageecha pizza
"1 x Herbed Potato, 1 x Just Pepperoni Pizza, 1 x Bageecha Pizza",x herb potato x pepperoni pizza x bageecha pizza
1 x Bageecha Pizza,x bageecha pizza
1 x Makhani Paneer Pizza,x makhani paneer pizza
1 x Peri Peri Paneer Pizza,x peri peri paneer pizza
1 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
"1 x Tipsy Tiger Fresh Lime Soda, 1 x Indian Pico De-Gallo, 1 x Bageecha Pizza",x tipsi tiger fresh lime soda x indian pico degallo x bageecha pizza
"1 x Cheesy Garlic Bread, 1 x Indian Masala Cripser Fries",x cheesi garlic bread x indian masala cripser fri
"1 x Makhani Paneer Pizza, 1 x Masala Paneer Pide",x makhani paneer pizza x masala paneer pide
1 x Margherita Pizza,x margherita pizza
"1 x Murgh Amritsari Seekh Pizza, 1 x Grilled Tangdis",x murgh amritsari seekh pizza x grill tangdi
"1 x All About Chicken Pizza, 1 x Chilli Cheese Garlic Bread",x chicken pizza x chilli chees garlic bread
"1 x Herbed Potato, 1 x OG Cheese Pide, 1 x Peri Peri Paneer Pizza",x herb potato x og chees pide x peri peri paneer pizza
"1 x Chilli Cheese Garlic Bread, 1 x Peri Peri Crisper Fries, 1 x Tripple Cheese Pizza, 2 x Tipsy Tiger Fresh Lime Soda",x chilli chees garlic bread x peri peri crisper fri x trippl chees pizza x tipsi tiger fresh lime soda
"1 x Cheesy Garlic Bread, 1 x Indian Masala Cripser Fries",x cheesi garlic bread x indian masala cripser fri
"1 x Chilli Cheese Garlic Bread, 1 x Tripple Cheese Pizza",x chilli chees garlic bread x trippl chees pizza
1 x Murgh Amritsari Seekh Melt,x murgh amritsari seekh melt
1 x Cheesy Garlic Bread,x cheesi garlic bread
1 x Chilli Cheese Garlic Bread,x chilli chees garlic bread
1 x Angara Paneer Melt,x angara paneer melt
1 x Masala Paneer Pide,x masala paneer pide
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
1 x Just Pepperoni Pizza,x pepperoni pizza
1 x Margherita Pizza,x margherita pizza
1 x Cheesy Garlic Bread,x cheesi garlic bread
1 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
1 x Chilli Cheese Garlic Bread,x chilli chees garlic bread
1 x Bageecha Pizza,x bageecha pizza
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
1 x Chilli Cheese Garlic Bread,x chilli chees garlic bread
"1 x Pepperoni Garlic Bread, 1 x Cheesy Garlic Bread",x pepperoni garlic bread x cheesi garlic bread
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
1 x Cheesy Garlic Bread,x cheesi garlic bread
2 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
"1 x Peri Peri Paneer Pizza, 1 x Bageecha Pizza",x peri peri paneer pizza x bageecha pizza
1 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
1 x Peri Peri Crisper Fries,x peri peri crisper fri
1 x All About Chicken Pizza,x chicken pizza
1 x All About Chicken Pizza,x chicken pizza
"1 x Onion Rings, 1 x Margherita Pizza",x onion ring x margherita pizza
1 x All About Chicken Pizza,x chicken pizza
"1 x Makhani Paneer Pizza, 1 x Mushroom Mozzarella Melt, 3 x Tipsy Tiger Ginger Ale",x makhani paneer pizza x mushroom mozzarella melt x tipsi tiger ginger ale
1 x Angara Paneer Melt,x angara paneer melt
1 x Bageecha Pizza,x bageecha pizza
"1 x Makhani Paneer Pizza, 1 x Murgh Amritsari Seekh Pizza",x makhani paneer pizza x murgh amritsari seekh pizza
"1 x Mutton Seekh Pide, 1 x Spinach Sumac Pide, 1 x Masala Paneer Pide",x mutton seekh pide x spinach sumac pide x masala paneer pide
1 x Margherita Pizza,x margherita pizza
"1 x Indian Pico De-Gallo, 1 x Just Pepperoni Pizza",x indian pico degallo x pepperoni pizza
"1 x Murgh Amritsari Garlic Bread, 1 x Bageecha Pizza",x murgh amritsari garlic bread x bageecha pizza
1 x Desi Pepperoni Pizza,x desi pepperoni pizza
1 x All About Chicken Pizza,x chicken pizza
"1 x Tripple Cheese Pizza, 1 x Indian Masala Cripser Fries, 1 x Makhani Paneer Pizza",x trippl chees pizza x indian masala cripser fri x makhani paneer pizza
"1 x Chilli Cheese Garlic Bread, 1 x Mushroom Pizza",x chilli chees garlic bread x mushroom pizza
"1 x Margherita Pizza, 1 x Cheesy Garlic Bread",x margherita pizza x cheesi garlic bread
"1 x Mushroom Pizza, 1 x Chicken Pepperoni Pizza",x mushroom pizza x chicken pepperoni pizza
"1 x Jamaican Chicken Melt, 1 x Murgh Amritsari Seekh Melt",x jamaican chicken melt x murgh amritsari seekh melt
1 x Cheesy Garlic Bread,x cheesi garlic bread
"1 x Margherita Pizza, 1 x Chilli Cheese Garlic Bread",x margherita pizza x chilli chees garlic bread
1 x Chilli Cheese Garlic Bread,x chilli chees garlic bread
"1 x Jamaican Chicken Melt, 1 x Peanut Butter Chocolate Pide",x jamaican chicken melt x peanut butter chocol pide
"1 x All About Chicken Pizza, 1 x Bageecha Pizza",x chicken pizza x bageecha pizza
1 x Peri Peri Crisper Fries,x peri peri crisper fri
1 x Mushroom Mozzarella Melt,x mushroom mozzarella melt
"1 x Murgh Amritsari Garlic Bread, 1 x Jamaican Chicken Melt, 1 x Chicken Pepperoni Pizza",x murgh amritsari garlic bread x jamaican chicken melt x chicken pepperoni pizza
"1 x Masala Paneer Pide, 1 x OG Cheese Pide",x masala paneer pide x og chees pide
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
1 x Cheesy Garlic Bread,x cheesi garlic bread
"1 x Angara Paneer Melt, 1 x Onion Rings, 1 x Herbed Potato, 1 x Chilli Cheese Garlic Bread, 1 x Murgh Amritsari Seekh Pide",x angara paneer melt x onion ring x herb potato x chilli chees garlic bread x murgh amritsari seekh pide
1 x Bageecha Pizza,x bageecha pizza
"1 x Herbed Potato, 1 x All About Chicken Pizza",x herb potato x chicken pizza
"1 x Murgh Amritsari Seekh Melt, 1 x Jamaican Chicken Melt, 1 x Fried Chicken Strips, 1 x Grilled Tangdis",x murgh amritsari seekh melt x jamaican chicken melt x fri chicken strip x grill tangdi
1 x Mushroom Pizza,x mushroom pizza
1 x All About Chicken Pizza,x chicken pizza
1 x Chilli Cheese Garlic Bread,x chilli chees garlic bread
1 x All About Chicken Pizza,x chicken pizza
1 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
"1 x Harisa Mayo, 1 x Herbed Potato, 1 x Desi Pepperoni Pizza",x harisa mayo x herb potato x desi pepperoni pizza
1 x Pepperoni Garlic Bread,x pepperoni garlic bread
2 x Grilled Tangdis,x grill tangdi
1 x All About Chicken Pizza,x chicken pizza
1 x Jamaican Chicken Melt,x jamaican chicken melt
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
1 x Chicken Pepperoni Pizza,x chicken pepperoni pizza
"1 x Bageecha Pizza, 1 x Jamaican Chicken Melt",x bageecha pizza x jamaican chicken melt
1 x Just Pepperoni Pizza,x pepperoni pizza
1 x Jamaican Chicken Melt,x jamaican chicken melt
1 x Bageecha Pizza,x bageecha pizza
"1 x Jamaican Chicken Melt, 1 x Fried Chicken Strips, 1 x Margherita Pizza, 3 x Harisa Mayo",x jamaican chicken melt x fri chicken strip x margherita pizza x harisa mayo
1 x Peri Peri Crisper Fries,x peri peri crisper fri
1 x Makhani Paneer Pizza,x makhani paneer pizza
1 x Salted Crisper Fries,x salt crisper fri
"1 x Makhani Paneer Pizza, 1 x Masala Paneer Pide",x makhani paneer pizza x masala paneer pide
"1 x All About Chicken Pizza, 1 x Murgh Amritsari Seekh Melt",x chicken pizza x murgh amritsari seekh melt
"1 x Makhani Paneer Pizza, 1 x Peanut Butter Chocolate Pide, 1 x Bageecha Pizza, 1 x Masala Paneer Pide",x makhani paneer pizza x peanut butter chocol pide x bageecha pizza x masala paneer pide
"1 x Herbed Potato, 1 x Herbed Potato",x herb potato x herb potato
"1 x Herbed Potato, 1 x Spinach Sumac Pide",x herb potato x spinach sumac pide
"1 x Peri Peri Paneer Pizza, 1 x Tripple Cheese Pizza",x peri peri paneer pizza x trippl chees pizza
"1 x Jamaican Chicken Melt, 1 x Just Pepperoni Pide",x jamaican chicken melt x pepperoni pide
2 x Chicken Pepperoni Pizza,x chicken pepperoni pizza
2 x Just Pepperoni Pide,x pepperoni pide
"1 x Chilli Cheese Garlic Bread, 1 x Pepperoni Garlic Bread, 2 x Murgh Amritsari Garlic Bread",x chilli chees garlic bread x pepperoni garlic bread x murgh amritsari garlic bread
"1 x Bageecha Pizza, 1 x Makhani Paneer Pizza",x bageecha pizza x makhani paneer pizza
"1 x Makhani Paneer Pizza, 1 x Mushroom Pizza",x makhani paneer pizza x mushroom pizza
"1 x Just Pepperoni Pide, 1 x Peri Peri Grilled Chicken Pizza",x pepperoni pide x peri peri grill chicken pizza
"1 x Jamaican Chicken Melt, 1 x Murgh Amritsari Seekh Melt",x jamaican chicken melt x murgh amritsari seekh melt
2 x All About Chicken Pizza,x chicken pizza
"1 x Peanut Butter Chocolate Pide, 1 x Masala Potato Pide",x peanut butter chocol pide x masala potato pide
"1 x Margherita Pizza, 1 x Angara Paneer Melt",x margherita pizza x angara paneer melt
2 x Cheesy Garlic Bread,x cheesi garlic bread
"1 x Onion Rings, 1 x Jamaican Chicken Melt, 1 x Peri Peri Crisper Fries, 1 x All About Chicken Pizza",x onion ring x jamaican chicken melt x peri peri crisper fri x chicken pizza
"1 x All About Chicken Pizza, 1 x Mutton Seekh Pizza, 1 x Peri Peri Grilled Chicken Pizza, 1 x Just Pepperoni Pizza",x chicken pizza x mutton seekh pizza x peri peri grill chicken pizza x pepperoni pizza
2 x Margherita Pizza,x margherita pizza
"1 x Tripple Cheese Pizza, 1 x All About Chicken Pizza",x trippl chees pizza x chicken pizza
"1 x Jamaican Chicken Melt, 1 x All About Chicken Pizza",x jamaican chicken melt x chicken pizza
"1 x Mushroom Mozzarella Melt, 1 x Tripple Cheese Pizza",x mushroom mozzarella melt x trippl chees pizza
"1 x Makhani Paneer Pizza, 1 x Just Pepperoni Pizza",x makhani paneer pizza x pepperoni pizza
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
"1 x Bageecha Pizza, 1 x Chilli Cheese Garlic Bread, 1 x Peanut Butter Chocolate Pide, 1 x Peri Peri Paneer Pizza",x bageecha pizza x chilli chees garlic bread x peanut butter chocol pide x peri peri paneer pizza
"1 x Murgh Amritsari Seekh Pide, 1 x Mutton Seekh Pide",x murgh amritsari seekh pide x mutton seekh pide
"1 x Desi Pepperoni Pizza, 1 x All About Chicken Pizza",x desi pepperoni pizza x chicken pizza
1 x Chilli Cheese Garlic Bread,x chilli chees garlic bread
